latitude,longitude,energy
-60.0,0.0,284382.59521478583
-60.0,10.0,561216.173230172
-60.0,20.0,825027.4993095284
-60.0,30.0,1070290.5826478133
-60.0,40.0,1300087.968352817
-60.0,50.0,1511466.7973170378
-60.0,60.0,1698462.6783203767
-60.0,70.0,1851713.4897303104
-60.0,80.0,1976818.396171281
-60.0,90.0,2088159.7627196154
-60.0,100.0,2212874.784366706
-60.0,110.0,2370247.548422252
-60.0,120.0,2564109.816161979
-60.0,130.0,2792985.039146916
-60.0,140.0,3049159.0681057307
-60.0,150.0,3324634.281361973
-60.0,160.0,3621297.332600021
-60.0,170.0,3922789.225363752
-50.0,0.0,4145693.514826262
-50.0,10.0,4372569.2815923635
-50.0,20.0,4603539.994520905
-50.0,30.0,4831562.842655913
-50.0,40.0,5055109.385582304
-50.0,50.0,5272604.416189226
-50.0,60.0,5486121.676122443
-50.0,70.0,5696193.782401475
-50.0,80.0,5901060.911832263
-50.0,90.0,6107699.820532896
-50.0,100.0,6319137.397157728
-50.0,110.0,6537460.240804572
-50.0,120.0,6765123.908399216
-50.0,130.0,6990460.885626684
-50.0,140.0,7238440.616838817
-50.0,150.0,7493696.0555770695
-50.0,160.0,7737530.400842589
-50.0,170.0,7970045.356984485
-40.0,0.0,8158426.475617461
-40.0,10.0,8342169.008010694
-40.0,20.0,8530066.501612466
-40.0,30.0,8724863.654473854
-40.0,40.0,8923717.62692733
-40.0,50.0,9124325.1430239
-40.0,60.0,9326735.802381486
-40.0,70.0,9528801.423993012
-40.0,80.0,9732278.350348229
-40.0,90.0,9938979.891095486
-40.0,100.0,10149326.721689139
-40.0,110.0,10362842.024025332
-40.0,120.0,10577580.122389838
-40.0,130.0,10782293.22697302
-40.0,140.0,11002668.427320436
-40.0,150.0,11214977.255183283
-40.0,160.0,11413394.53051734
-40.0,170.0,11603265.597391944
-30.0,0.0,11791441.96776677
-30.0,10.0,11964663.753583489
-30.0,20.0,12127002.292459758
-30.0,30.0,12283649.050660504
-30.0,40.0,12444611.582088701
-30.0,50.0,12603880.631479017
-30.0,60.0,12774505.277557286
-30.0,70.0,12948227.379159998
-30.0,80.0,13128908.086583117
-30.0,90.0,13311802.468500355
-30.0,100.0,13498356.97984994
-30.0,110.0,13683802.288216133
-30.0,120.0,13866685.06257992
-30.0,130.0,14042107.056945115
-30.0,140.0,14225930.103491424
-30.0,150.0,14405327.505997881
-30.0,160.0,14589969.076316278
-30.0,170.0,14784801.104458954
-20.0,0.0,14990479.350298317
-20.0,10.0,15174685.30161039
-20.0,20.0,15340511.758425932
-20.0,30.0,15494481.005403316
-20.0,40.0,15641870.575800946
-20.0,50.0,15779938.124983894
-20.0,60.0,15924084.395679593
-20.0,70.0,16072827.872249298
-20.0,80.0,16227218.764848653
-20.0,90.0,16383360.817432448
-20.0,100.0,16540702.28920039
-20.0,110.0,16700637.104303991
-20.0,120.0,16857412.540494066
-20.0,130.0,17017801.761679307
-20.0,140.0,17189923.8371062
-20.0,150.0,17372660.317761146
-20.0,160.0,17570505.911607184
-20.0,170.0,17787384.456462737
-10.0,0.0,18021599.28499559
-10.0,10.0,18231233.164157663
-10.0,20.0,18417107.68370397
-10.0,30.0,18583886.193225972
-10.0,40.0,18739378.762917273
-10.0,50.0,18883390.410918653
-10.0,60.0,19028494.03257934
-10.0,70.0,19172983.569532864
-10.0,80.0,19318532.757313292
-10.0,90.0,19467269.055291265
-10.0,100.0,19620683.77324835
-10.0,110.0,19776115.576331485
-10.0,120.0,19935411.44767305
-10.0,130.0,20101379.610867098
-10.0,140.0,20285334.05665284
-10.0,150.0,20489982.945542995
-10.0,160.0,20715307.205818754
-10.0,170.0,20966847.220361166
0.0,0.0,21219882.544131525
0.0,10.0,21453440.134934764
0.0,20.0,21663885.935767233
0.0,30.0,21848545.39762871
0.0,40.0,22023284.87585239
0.0,50.0,22184706.075264562
0.0,60.0,22342172.55252382
0.0,70.0,22497470.650358878
0.0,80.0,22649766.171428245
0.0,90.0,22807455.13318561
0.0,100.0,22971745.79982492
0.0,110.0,23140096.446235154
0.0,120.0,23312219.520787485
0.0,130.0,23492499.31602127
0.0,140.0,23696551.933959004
0.0,150.0,23932716.142131027
0.0,160.0,24194644.292898007
0.0,170.0,24480717.91337232
10.0,0.0,24714107.421866067
10.0,10.0,24945943.316978443
10.0,20.0,25168352.805219997
10.0,30.0,25380049.904698413
10.0,40.0,25576473.221098743
10.0,50.0,25762744.054908983
10.0,60.0,25943154.023174953
10.0,70.0,26119645.218571447
10.0,80.0,26292022.81009928
10.0,90.0,26469441.583784737
10.0,100.0,26650661.622597534
10.0,110.0,26843110.40025694
10.0,120.0,27037993.78331617
10.0,130.0,27241293.99545714
10.0,140.0,27467905.844827637
10.0,150.0,27737560.21253243
10.0,160.0,28016888.05985946
10.0,170.0,28296626.175480343
20.0,0.0,28496987.639346838
20.0,10.0,28700711.324657053
20.0,20.0,28905275.336880393
20.0,30.0,29114594.911028143
20.0,40.0,29323021.91991119
20.0,50.0,29528867.144585732
20.0,60.0,29732454.441716585
20.0,70.0,29929622.050010387
20.0,80.0,30122270.723273274
20.0,90.0,30319953.669225268
20.0,100.0,30526585.683194604
20.0,110.0,30742554.17853854
20.0,120.0,30963548.450882196
20.0,130.0,31186571.13071364
20.0,140.0,31426745.965810906
20.0,150.0,31689353.675655708
20.0,160.0,31939108.361491017
20.0,170.0,32181804.969261397
30.0,0.0,32364036.51548376
30.0,10.0,32548358.955419473
30.0,20.0,32731849.162872493
30.0,30.0,32919833.907308787
30.0,40.0,33114926.448952254
30.0,50.0,33319549.018809177
30.0,60.0,33526180.106292784
30.0,70.0,33729256.41102048
30.0,80.0,33933098.22043064
30.0,90.0,34142399.98980228
30.0,100.0,34358464.92816145
30.0,110.0,34578554.9824532
30.0,120.0,34802845.276641026
30.0,130.0,35020150.02922058
30.0,140.0,35242709.17558687
30.0,150.0,35477517.385039866
30.0,160.0,35700240.59862968
30.0,170.0,35915830.12368251
40.0,0.0,36104428.97685272
40.0,10.0,36289616.647281766
40.0,20.0,36474112.6234859
40.0,30.0,36660975.173899986
40.0,40.0,36851302.60425533
40.0,50.0,37051574.96384092
40.0,60.0,37255672.21715798
40.0,70.0,37456619.67398259
40.0,80.0,37659323.72056488
40.0,90.0,37867102.049948454
40.0,100.0,38075632.19014121
40.0,110.0,38288773.197785705
40.0,120.0,38503514.19724812
40.0,130.0,38710043.34596464
40.0,140.0,38921016.628901966
40.0,150.0,39140936.73543044
40.0,160.0,39353030.5046523
40.0,170.0,39565118.104071684
50.0,0.0,39793857.620551646
50.0,10.0,40007030.121667475
50.0,20.0,40211742.9218272
50.0,30.0,40415720.99956713
50.0,40.0,40620445.53579624
50.0,50.0,40830986.9979402
50.0,60.0,41044187.660925485
50.0,70.0,41258304.74848807
50.0,80.0,41481204.194686644
50.0,90.0,41705987.03277475
50.0,100.0,41926976.92205983
50.0,110.0,42147731.51866985
50.0,120.0,42371106.41013476
50.0,130.0,42589824.21095538
50.0,140.0,42810460.92564776
50.0,150.0,43034735.83109609
50.0,160.0,43263870.12761907
50.0,170.0,43503744.111343086
60.0,0.0,43787121.449825816
60.0,10.0,44061230.005155064
60.0,20.0,44323336.75426206
60.0,30.0,44575410.63233231
60.0,40.0,44821244.4812328
60.0,50.0,45069842.07226642
60.0,60.0,45323146.84884515
60.0,70.0,45585318.183258995
60.0,80.0,45856614.301352315
60.0,90.0,46132774.49294021
60.0,100.0,46407892.962010376
60.0,110.0,46673886.75871688
60.0,120.0,46940514.262383446
60.0,130.0,47202674.980881795
60.0,140.0,47468411.71004616
60.0,150.0,47745506.205055244
60.0,160.0,48039290.67319644
60.0,170.0,48349009.835188255
70.0,0.0,48687222.86141115
70.0,10.0,49032374.42318463
70.0,20.0,49381239.322029404
70.0,30.0,49732161.64013302
70.0,40.0,50086852.9762418
70.0,50.0,50454295.64188255
70.0,60.0,50851350.27557338
70.0,70.0,51270241.402960256
70.0,80.0,51702755.55860328
70.0,90.0,52142280.12776979
70.0,100.0,52602869.750089586
70.0,110.0,53062247.66854088
70.0,120.0,53496335.19435768
70.0,130.0,53895780.92751971
70.0,140.0,54287014.97456942
70.0,150.0,54678459.1525611
70.0,160.0,55072336.651979
70.0,170.0,55465198.77100298
80.0,0.0,55870846.51961859
80.0,10.0,56324029.35678889
80.0,20.0,56839265.933413334
80.0,30.0,57429327.11589827
80.0,40.0,58070097.12236826
80.0,50.0,58666663.00742984
80.0,60.0,59199830.69995094
80.0,70.0,59711758.87728475
80.0,80.0,60218090.84699784
80.0,90.0,60720443.6409083
80.0,100.0,61217888.52251183
80.0,110.0,61733592.79380005
80.0,120.0,62307034.33031217
80.0,130.0,62958349.18093044
80.0,140.0,63652258.45624836
80.0,150.0,64283684.69359949
80.0,160.0,64836430.58903267
80.0,170.0,65352645.036226325
